
It9X80uyw,杨娟娟要努力努力再努力,女,贵州,146,159,杨娟娟要努力努力再努力:开始以为是疫情爆发正好赶上春运才导致大范围传染，现在才知道原来12月底就发现有疫情，拖至1月23号才开始采取强制措施，演变成今天的全国封城局面和当初当地部分官员隐瞒疫情，不作为，乱作为脱不了干系！大街小巷空荡荡的，就像看过的电影画面一样，从没想过会出现在现实中，让人不禁恐慌，压抑。 http://t.cn/R2WxBG7 显示地图 ,http://t.cn/R2WxBG7,2020-02-08 00:59,OPPO R9 Plus,0,0,0,无
It9WHnpYw,史丹利澳門,男,澳门,1403,93310,"史丹利澳門:【兩岸】世衞稱疫情未見頂　防護裝備短缺世界衞生組織2月6日表示，中國雖然首次出現單日新病例增幅下降的情況，但武漢肺炎疫情正達高峰還言之過早。世衞又警告，全球正面臨個人防護裝備的長期短缺，將向各國發送檢測工具、口罩、手套、呼吸器和防護衣等，努力尋求解決物資短缺問題，讓全球裝備得以公平分配。世界衞生組織突發事件執行主任瑞安（Michael Ryan）說，武漢肺炎疫情還在發展，非常難以預測，仍處於密集爆發的階段當中，不過至少目前情況是穩定的。他稱：「單單一天確診4000宗病例還是近3700宗，是沒甚麼好慶祝的，當然還是令人深感憂慮。」他指湖北省的感染數字約佔總數80%，還在持續上升，然而在湖北以外的省份，以及香港、澳門和台灣三地，都沒有看到有像湖北這樣快的增速。世衞總幹事譚德塞指，中國目前有約31,200例確診病例，637宗死亡病例，認為中國確診個案在過去兩天減少是好消息，但同時警告不宜過份解讀，數字可能會再上升。世衞周四宣布，將於2月11日至12日在日內瓦召開全球研究創新論壇，與會頂尖專家屆時將會商討研究新型冠狀病毒。有鑑於防疫物資短缺，泰國本周將醫用外科口罩等部分產品歸類為受管制產品，每人限購10個，出口超過500個須先獲得當局許可。衞生部門呼籲民眾自製消毒液及口罩。 ",无,2020-02-08 00:58,微博 weibo.com,1,0,0,无
It9WFj8N6,百年芳华BNFH,女,湖南,112,10,百年芳华BNFH:把生命中每一次都当成最后一次珍惜，之前都以为是心灵鸡汤，当经历了才能体会！当年父亲的病情不敢直视，CA在20年前我不能接受的事实，父亲的离世我的山轰然崩塌，多少年才走出阴霾，如今只留下来念想！一幕一幕历历在目----我离家求学他的想念、接我回家他背着我的小包的滑稽、在一起玩烟花的天真、对我严加管教的严厉，每每想起潸然泪下！只恨没有珍惜在一起的每时每刻！疫情当下，关乎爱恨情仇，多少已经释怀！珍惜眼前人！ 原图 ,无,2020-02-08 00:58,iPhone客户端,0,0,0,无
It9WDgWta,余辉大师,男,浙江,9,340,余辉大师:【追加10亿腾讯宣布设立15亿元“战疫基金”】腾讯宣布设立15亿元“抗击新型冠状病毒感染肺炎疫情综合保障基金”。这是腾讯在设立首期3亿元疫情防控基金、2亿元战疫开发者公益联盟资金池后，再次升级追加10亿元基金。其中，战疫基金将专设3亿元的“致敬战疫人物基金”，用于对“战疫”一线做出特殊贡献人士的致敬和慰问。腾讯15亿元战疫基金分别投入在物资支援、技术支援、人员关怀、科研与医疗事业等领域。 ,无,2020-02-08 00:58,iPhone客户端,0,0,0,无
It9WxkI2g,搜狐新闻,男,北京,283,1365224,搜狐新闻:【杭州暂停所有零售药店销售发烧咳嗽药品】据杭州网消息，杭州市市场监督管理局、杭州市医疗保障局紧急发布通知——各区、县（市）市场监督管理局、医疗保障（分）局、各零售药店：鉴于目前新型冠状病毒感染的肺炎疫情防控形势，为进一步加强对发热、咳嗽病人的管理，根据杭州市新型冠状病毒感染的肺炎疫情防控指挥部要求，决定自2020年2月8日起，全市所有零售药店暂停向市民销售治疗发热、咳嗽的药品，有这些症状的市民应尽快到医院就诊。http://t.cn/A6PgiBf6 原图 ,无,2020-02-08 00:57,微博 weibo.com,3237,504,291,无
It9WbupgM,刘奕忻Izzy,女,上海,55,693,刘奕忻Izzy:#近日吃食及杂谈#这个年不怎么想庆祝，体会颇多。特殊时期的离别显得更加沉重及让人挂记。返沪几日保持和家人每日视频通话。刚回上海时，楼下的阿姨和姐姐怕我一个人隔离在家没饭吃还送了我一盘饺子；今天妞妞外婆在楼下喊我，说我一个人在家没声音她们很担心，可爱又温柔的邻居们啊。八点闹钟起来抢菜，扰了睡眠且价钱贵了些，但是能买到就偷着乐了，毕竟可以做出想吃的饭菜。一个人吃饭，厨艺提升不少，可惜一顿最多两个菜，冷清了些，只能看剧和综艺下饭。希望疫情赶紧过去，能和家人，邢猪猪，好久不见的朋友们热闹地说笑，吃喝玩乐。当然在此之前的日子里，我会照顾好自己，你们也是喔。图里留了彩蛋祝 平安，喜乐 http://t.cn/RJ2IpDz 显示地图 [组图共6张] 原图 ,http://t.cn/RJ2IpDz,2020-02-08 00:57,iPhone 11,3,0,2,无
It9QWtjZj,人人常歡笑不要眼淚掉-,女,广东,421,479,人人常歡笑不要眼淚掉-:元宵节快乐🏮希望疫情快d过去  [组图共3张] 原图 ,无,2020-02-08 00:44,无,6,0,2,无
It9QKBVvV,如是墨哉,女,浙江,456,245,如是墨哉:在这全国人民都关注关心疫情的时刻，就都留点口德吧，网络暴力就不是你说的了？小心下阿鼻地狱 ！！！这时候都是心情心态不稳定的时候，看看喜欢的人，喜欢的作品，看看相互成就的作品，给予祝福不是挺好，关系好的人不会真因为你们叽歪几句就怎样的！！！佛系粉一枚😂 😂 😂 😂 😂 http://t.cn/RyhYNv0 显示地图 ,http://t.cn/RyhYNv0,2020-02-08 00:43,vivo X30专业影像,2,0,0,无
It9PY9trG,赵宏民,男,上海,1836,182211,赵宏民:前几天我对北京上海深圳等各大城市的返程高峰比较担忧，如今我觉得在尽可能保证安全的情况下，应该让尽可能多的人尽快走上工作岗位。抵抗新型冠状病毒，我们这个社会需要静养，更需要强大的工业制造业、服务业、金融业、互联网等等各行各业开足马力运转起来，战胜疫情就多了更多的物质保障。 #上海地铁不戴口罩不得进站# [组图共3张] 原图 ,无,2020-02-08 00:41,无,19,0,7,无
It9PkhuMb,四川新闻妹,女,四川,5092,515107,四川新闻妹:#成都全市小区院落封闭管理##成都小区封闭管理# #成都# #成都头条新闻[超话]# #成都头条新闻# #成都身边事# #成都身边事# 7日，成都市新型冠状病毒感染的肺炎疫情防控指挥部发布通告，称全市城镇居住小区（院落）、农民集中居住区、农村散居院落实行限制外来人员进入的封闭式管理。 http://t.cn/A6PgM3u2 ,无,2020-02-08 00:40,欢迎爆料iPhone客户端,354,0,2,无
