
Iu47VuLwI,神采飞扬娄艺潇,女,辽宁,776,996,神采飞扬娄艺潇:2020年02月13日 - 星期四 / 天气 ：阴日记标题 ：期待春天的到来 （  原名 ：期待  ）    今天早上，看到天气和昨天的一样还是雾气蒙蒙的！    不过，到了上午雾蒙蒙的感觉就逐渐的散了。虽然，没有彻底晴朗天气… 但是至少能看附近的楼了。    还有，明天就即将有新一轮的降雪，并且明后两天都有小到大雪或大雪的量级等等。所以，我们没有要紧的事尽量不要出门了！而且，现在当前还是疫情的非常时期。    为此，我们最好尽量的呆在家中，并等待这个该死的疫情过去。还有，等到春暖花开之时，我们就能够可以去享受拥抱春天的季节与阳光了。/【 美式风格日记 】 http://t.cn/z8L8PPV 显示地图 ,http://t.cn/z8L8PPV,2020-02-13 23:59,华为手机 畅享玩不停,0,0,0,无
Iu47SuzfV,YC59,男,江苏,171,30,YC59:还在蔓延的疫情，让平时就不喜欢点外卖的我，几乎将做饭变成了必选项。十来天的独居时间里，做起菜来，算不上游刃有余，倒也得心应手。以前讨厌的油烟味，现在闻起来也好像多了些接受。才发现，做饭原来也可以是一件很治愈的事情。要说有那么一些感到遗憾的话，就是对着塞满的冰箱，也会有些失落。可以做饭和喜欢的人一起吃，才是幸福又幸运的事吧。 原图 ,无,2020-02-13 23:59,iPhone XS,0,0,2,无
Iu47OlkmU,俗气到家的阿哲,男,山西,198,141,俗气到家的阿哲:马上就是西方传统的情人节了，还好我是个地道的北方人之前上学的时候，每年的情人节，我身边的兄弟们都会为送礼物想破脑袋，学校里到处洋溢着幸福的气氛，街道上也是热热闹闹的人山人海。不过今年因为疫情的关系，估计大多数情侣只能异地过节了，但是也不用过于悲伤，就算身各一方，其实爱从未远离。至于我？准备阳台吹吹风，客厅赏赏花，浴室听听雨，然后微笑着翻翻你们的那年今日，看看这些年你们的对象都变了多少… 原图 ,无,2020-02-13 23:59,360安全浏览器,3,0,3,无
Iu47Kz0Zy,湖北发布,男,湖北,254,1894740,湖北发布:【新闻发布会｜专家恳请康复期患者捐血浆 他们体内有抗体】目前，武汉市新冠肺炎重症救治进展情况怎样？2月13日21时，湖北省新冠肺炎疫情防控工作指挥部召开第二十三场发布会，邀请中央指导组医疗救治组专家、北京朝阳医院副院长童朝晖，广州支援武汉协和医院医疗队队长、广州医科大学附属第一医院副院长张挪富，武汉金银潭医院院长张定宇，对一些热点问题进行集中答复。http://t.cn/A6hGf2Qx [组图共2张] 原图 ,无,2020-02-13 23:59,微博 weibo.com,12,16,0,无
Iu47CeG6w,广州日报,男,广东,3696,16780247,广州日报:#晚安# 当你做到了对现实的尊重和了解后，再去调整心情，这样是比较对的。一般直接调整心情也可以，但目前疫情可能波及到任何一个人，所以这时得允许情绪的波动。因为每一个情绪都是合理的。#花城有爱# 广州日报特邀资深心理咨询师、著名作家@武志红 ，共同推出“晚安”系列海报，每晚一句，帮助大家面对疫情，呵护自我，温暖他人，一起迎接春暖花开的日子。长夜里，道一声珍重，只愿你“晚安”。http://t.cn/A6hGfZ4U 原图 ,无,2020-02-13 23:59,微博 weibo.com,45,16,11,无
Iu47AdR0E,思想宁聚,男,山东,3074,76605,思想宁聚:由于受疫情的影响，很多地方都封路了，每家每户基本都是不出门，不串门，由于事发突然，很多必须物品可能都需要采购了。纸尿裤如果急缺，可以根据孩子的月龄和孩子平时排尿的情况，看是否一定要穿纸尿裤。或者在这段时间改用尿布，建议选择可直接接触宝宝屁屁的纯棉或者棉纱类型的尿布，这也是不错的选择哦～看你的宝宝现在是多大了？我是在喂母乳期，可以适量的给他加点鸡蛋黄，和饼干，用温水把它弄成浆糊状，可以帮助喂，我再大一点的孩子，你就可以更好地为他一些生活称吃的面条鸡蛋，也就是这年代，老一辈人的，哪有这么好的待遇？一般的面糊糊就可以把一个孩子养大，至于尿不湿没了，那就更好办了，你家里的旧衣服，有棉布的，把它洗净都可以用，老辈子人用的办法 http://t.cn/A6Pg3xob ,无,2020-02-13 23:58,iPhone 7,0,0,0,无
Iu46E1Jv8,妮儿的昵称都是小宇宙,女,云南,246,259,妮儿的昵称都是小宇宙:#哨位日历[超话]##一号哨位[超话]#NO.44外面的世界很精彩，给天天跟着我的钥匙扣露露脸，其他兵种的就先在家隔离吧，毕竟钥匙上一次性挂那么几个很奇怪，又不是保镖今天的夕阳也很美，所以你看了吗？每天都希望疫情早日结束，这样我们就不用再像现在这般了。不知不觉就熬上了夜，晚安@一号哨位 @一号哨位 @一号哨位 [组图共9张] 原图 ,无,2020-02-13 23:56,哨位日历超话,2,0,1,无
Iu41HyStd,Mssunsophia,女,山东,175,206,Mssunsophia:#疫情期间你最想念的东西# 龙口市  显示地图 [组图共9张] 原图 ,#疫情期间你最想念的东西#,2020-02-13 23:44, iPhone,4,0,3,无
Iu4083kub,两个贝_,女,河北,639,116,两个贝_:一切赶快好起来吧 不然今年的西藏之旅要泡汤啦🥴#疫情过后你最想见的人#  ,无,2020-02-13 23:40,iPhone客户端,0,0,5,无
Iu3YGcJLs,TheQx_,女,湖南,179,14,TheQx_:武汉快点好起来吧疫情快点过去吧还是很爱武汉的过早  ,无,2020-02-13 23:37,iPhone客户端,0,0,0,无
Iu3YgvXjC,森尼外贸,男,其他,609,61,森尼外贸:可以发圆通 看到朋友圈都在讨论这个帽子，正好自己家兄弟就自己有工厂在胶州给国外加工帽子，就接了我这批订单，用的当下最好的进口pvc做工都是出口外贸标准 ，纯粹卖着玩 服务大众 价格应该同品质最优 也应高是当下最高品质 ，人手一个 疫情过后pvc剪掉就行！疫情结束后的几个月内🧢还是要采取防护措施的🧢防沙！防唾液！全脸保护！正常三天内我会给大家发走 ，默认圆通速递哈。代理转起来吧～#帽子# [组图共9张] 原图 ,无,2020-02-13 23:36,iPhone 8 Plus,0,0,0,无
